surveyID	surveyTargetValue	surveyTargetType	includeOrExclude	surveyTargetID
35-1	Hydrurga leptonyx	taxon	include	231417
35-1	Leptonychotes weddellii	taxon	include	195932
35-1	Lobodon carcinophaga	taxon	include	344008
35-1	Mirounga leonina	taxon	include	231413
35-2	Hydrurga leptonyx	taxon	include	231417
35-2	Leptonychotes weddellii	taxon	include	195932
35-2	Lobodon carcinophaga	taxon	include	344008
35-2	Mirounga leonina	taxon	include	231413
36-1	Hydrurga leptonyx	taxon	include	231417
36-1	Leptonychotes weddellii	taxon	include	195932
36-1	Lobodon carcinophaga	taxon	include	344008
36-1	Mirounga leonina	taxon	include	231413
36-2	Hydrurga leptonyx	taxon	include	231417
36-2	Leptonychotes weddellii	taxon	include	195932
36-2	Lobodon carcinophaga	taxon	include	344008
36-2	Mirounga leonina	taxon	include	231413
37-1	Hydrurga leptonyx	taxon	include	231417
37-1	Leptonychotes weddellii	taxon	include	195932
37-1	Lobodon carcinophaga	taxon	include	344008
37-1	Mirounga leonina	taxon	include	231413
37-2	Hydrurga leptonyx	taxon	include	231417
37-2	Leptonychotes weddellii	taxon	include	195932
37-2	Lobodon carcinophaga	taxon	include	344008
37-2	Mirounga leonina	taxon	include	231413
38-1	Hydrurga leptonyx	taxon	include	231417
38-1	Leptonychotes weddellii	taxon	include	195932
38-1	Lobodon carcinophaga	taxon	include	344008
38-1	Mirounga leonina	taxon	include	231413
38-2	Hydrurga leptonyx	taxon	include	231417
38-2	Leptonychotes weddellii	taxon	include	195932
38-2	Lobodon carcinophaga	taxon	include	344008
38-2	Mirounga leonina	taxon	include	231413
39-1	Hydrurga leptonyx	taxon	include	231417
39-1	Leptonychotes weddellii	taxon	include	195932
39-1	Lobodon carcinophaga	taxon	include	344008
39-1	Mirounga leonina	taxon	include	231413
39-2	Hydrurga leptonyx	taxon	include	231417
39-2	Leptonychotes weddellii	taxon	include	195932
39-2	Lobodon carcinophaga	taxon	include	344008
39-2	Mirounga leonina	taxon	include	231413
4-1	Hydrurga leptonyx	taxon	include	231417
4-1	Leptonychotes weddellii	taxon	include	195932
4-1	Lobodon carcinophaga	taxon	include	344008
4-1	Mirounga leonina	taxon	include	231413
4-2	Hydrurga leptonyx	taxon	include	231417
4-2	Leptonychotes weddellii	taxon	include	195932
4-2	Lobodon carcinophaga	taxon	include	344008
4-2	Mirounga leonina	taxon	include	231413
40-1	Hydrurga leptonyx	taxon	include	231417
40-1	Leptonychotes weddellii	taxon	include	195932
40-1	Lobodon carcinophaga	taxon	include	344008
40-1	Mirounga leonina	taxon	include	231413
40-2	Hydrurga leptonyx	taxon	include	231417
40-2	Leptonychotes weddellii	taxon	include	195932
40-2	Lobodon carcinophaga	taxon	include	344008
40-2	Mirounga leonina	taxon	include	231413
41-1	Hydrurga leptonyx	taxon	include	231417
41-1	Leptonychotes weddellii	taxon	include	195932
41-1	Lobodon carcinophaga	taxon	include	344008
41-1	Mirounga leonina	taxon	include	231413
41-2	Hydrurga leptonyx	taxon	include	231417
41-2	Leptonychotes weddellii	taxon	include	195932
41-2	Lobodon carcinophaga	taxon	include	344008
41-2	Mirounga leonina	taxon	include	231413
42-1	Hydrurga leptonyx	taxon	include	231417
42-1	Leptonychotes weddellii	taxon	include	195932
42-1	Lobodon carcinophaga	taxon	include	344008
42-1	Mirounga leonina	taxon	include	231413
42-2	Hydrurga leptonyx	taxon	include	231417
42-2	Leptonychotes weddellii	taxon	include	195932
42-2	Lobodon carcinophaga	taxon	include	344008
42-2	Mirounga leonina	taxon	include	231413
43-1	Hydrurga leptonyx	taxon	include	231417
43-1	Leptonychotes weddellii	taxon	include	195932
43-1	Lobodon carcinophaga	taxon	include	344008
43-1	Mirounga leonina	taxon	include	231413
43-2	Hydrurga leptonyx	taxon	include	231417
43-2	Leptonychotes weddellii	taxon	include	195932
43-2	Lobodon carcinophaga	taxon	include	344008
43-2	Mirounga leonina	taxon	include	231413
44-1	Hydrurga leptonyx	taxon	include	231417
44-1	Leptonychotes weddellii	taxon	include	195932
44-1	Lobodon carcinophaga	taxon	include	344008
44-1	Mirounga leonina	taxon	include	231413
44-2	Hydrurga leptonyx	taxon	include	231417
44-2	Leptonychotes weddellii	taxon	include	195932
44-2	Lobodon carcinophaga	taxon	include	344008
44-2	Mirounga leonina	taxon	include	231413
45-1	Hydrurga leptonyx	taxon	include	231417
45-1	Leptonychotes weddellii	taxon	include	195932
45-1	Lobodon carcinophaga	taxon	include	344008
45-1	Mirounga leonina	taxon	include	231413
45-2	Hydrurga leptonyx	taxon	include	231417
45-2	Leptonychotes weddellii	taxon	include	195932
45-2	Lobodon carcinophaga	taxon	include	344008
45-2	Mirounga leonina	taxon	include	231413
46-1	Hydrurga leptonyx	taxon	include	231417
46-1	Leptonychotes weddellii	taxon	include	195932
46-1	Lobodon carcinophaga	taxon	include	344008
46-1	Mirounga leonina	taxon	include	231413
46-2	Hydrurga leptonyx	taxon	include	231417
46-2	Leptonychotes weddellii	taxon	include	195932
46-2	Lobodon carcinophaga	taxon	include	344008
46-2	Mirounga leonina	taxon	include	231413
47-1	Hydrurga leptonyx	taxon	include	231417
47-1	Leptonychotes weddellii	taxon	include	195932
47-1	Lobodon carcinophaga	taxon	include	344008
47-1	Mirounga leonina	taxon	include	231413
47-2	Hydrurga leptonyx	taxon	include	231417
47-2	Leptonychotes weddellii	taxon	include	195932
47-2	Lobodon carcinophaga	taxon	include	344008
47-2	Mirounga leonina	taxon	include	231413
48-1	Hydrurga leptonyx	taxon	include	231417
48-1	Leptonychotes weddellii	taxon	include	195932
48-1	Lobodon carcinophaga	taxon	include	344008
48-1	Mirounga leonina	taxon	include	231413
48-2	Hydrurga leptonyx	taxon	include	231417
48-2	Leptonychotes weddellii	taxon	include	195932
48-2	Lobodon carcinophaga	taxon	include	344008
48-2	Mirounga leonina	taxon	include	231413
49-1	Hydrurga leptonyx	taxon	include	231417
49-1	Leptonychotes weddellii	taxon	include	195932
49-1	Lobodon carcinophaga	taxon	include	344008
49-1	Mirounga leonina	taxon	include	231413
49-2	Hydrurga leptonyx	taxon	include	231417
49-2	Leptonychotes weddellii	taxon	include	195932
49-2	Lobodon carcinophaga	taxon	include	344008
49-2	Mirounga leonina	taxon	include	231413
5-1	Hydrurga leptonyx	taxon	include	231417
5-1	Leptonychotes weddellii	taxon	include	195932
5-1	Lobodon carcinophaga	taxon	include	344008
5-1	Mirounga leonina	taxon	include	231413
5-2	Hydrurga leptonyx	taxon	include	231417
5-2	Leptonychotes weddellii	taxon	include	195932
