surveyID	surveyTargetValue	surveyTargetType	includeOrExclude	surveyTargetID
85-1	Leptonychotes weddellii	taxon	include	195932
85-1	Lobodon carcinophaga	taxon	include	344008
85-1	Mirounga leonina	taxon	include	231413
85-2	Hydrurga leptonyx	taxon	include	231417
85-2	Leptonychotes weddellii	taxon	include	195932
85-2	Lobodon carcinophaga	taxon	include	344008
85-2	Mirounga leonina	taxon	include	231413
86-1	Hydrurga leptonyx	taxon	include	231417
86-1	Leptonychotes weddellii	taxon	include	195932
86-1	Lobodon carcinophaga	taxon	include	344008
86-1	Mirounga leonina	taxon	include	231413
86-2	Hydrurga leptonyx	taxon	include	231417
86-2	Leptonychotes weddellii	taxon	include	195932
86-2	Lobodon carcinophaga	taxon	include	344008
86-2	Mirounga leonina	taxon	include	231413
87-1	Hydrurga leptonyx	taxon	include	231417
87-1	Leptonychotes weddellii	taxon	include	195932
87-1	Lobodon carcinophaga	taxon	include	344008
87-1	Mirounga leonina	taxon	include	231413
87-2	Hydrurga leptonyx	taxon	include	231417
87-2	Leptonychotes weddellii	taxon	include	195932
87-2	Lobodon carcinophaga	taxon	include	344008
87-2	Mirounga leonina	taxon	include	231413
88-1	Hydrurga leptonyx	taxon	include	231417
88-1	Leptonychotes weddellii	taxon	include	195932
88-1	Lobodon carcinophaga	taxon	include	344008
88-1	Mirounga leonina	taxon	include	231413
88-2	Hydrurga leptonyx	taxon	include	231417
88-2	Leptonychotes weddellii	taxon	include	195932
88-2	Lobodon carcinophaga	taxon	include	344008
88-2	Mirounga leonina	taxon	include	231413
89-1	Hydrurga leptonyx	taxon	include	231417
89-1	Leptonychotes weddellii	taxon	include	195932
89-1	Lobodon carcinophaga	taxon	include	344008
89-1	Mirounga leonina	taxon	include	231413
89-2	Hydrurga leptonyx	taxon	include	231417
89-2	Leptonychotes weddellii	taxon	include	195932
89-2	Lobodon carcinophaga	taxon	include	344008
89-2	Mirounga leonina	taxon	include	231413
9-1	Hydrurga leptonyx	taxon	include	231417
9-1	Leptonychotes weddellii	taxon	include	195932
9-1	Lobodon carcinophaga	taxon	include	344008
9-1	Mirounga leonina	taxon	include	231413
90-1	Hydrurga leptonyx	taxon	include	231417
90-1	Leptonychotes weddellii	taxon	include	195932
90-1	Lobodon carcinophaga	taxon	include	344008
90-1	Mirounga leonina	taxon	include	231413
90-2	Hydrurga leptonyx	taxon	include	231417
90-2	Leptonychotes weddellii	taxon	include	195932
90-2	Lobodon carcinophaga	taxon	include	344008
90-2	Mirounga leonina	taxon	include	231413
91-1	Hydrurga leptonyx	taxon	include	231417
91-1	Leptonychotes weddellii	taxon	include	195932
91-1	Lobodon carcinophaga	taxon	include	344008
91-1	Mirounga leonina	taxon	include	231413
