surveyID	eventDurationValue	eventDurationUnit	taxonCompletenessReported	isTaxonomicScopeFullyReported	targetHabitatScope	excludedTargetHabitatScope	isAbsenceReported	hasNonTargetTaxa	isAbundanceReported	isLeastSpecificTargetCategoryQuantityInclusive	hasMaterialSamples	samplingEffortProtocolID	samplingPerformedBy
227-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
228-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
229-1	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
230-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
231-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
232-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
233-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
234-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
235-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
236-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
237-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
238-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
239-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
240-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
241-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
242-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
243-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
244-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
245-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
246-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
247-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
248-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
249-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
250-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
251-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
252-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
253-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
254-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
255-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
256-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
257-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
258-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
259-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
260-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
261-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
262-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
263-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
264-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
265-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
266-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
267-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
268-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
269-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
270-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
271-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
272-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
273-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
274-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
275-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
276-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
277-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
278-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
279-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
280-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
281-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
282-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
283-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
284-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
149-1	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
149-2	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
150-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
150-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
151-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
151-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
152-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
152-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
153-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
153-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
154-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
154-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
155-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
155-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
156-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
156-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
157-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
157-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
158-1	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
158-2	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
159-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
159-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
160-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
160-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
161-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
161-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
162-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
162-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
163-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
163-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
164-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
164-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
165-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
165-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
166-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
166-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
167-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
167-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
168-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
168-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
169-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
169-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
170-1	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
171-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
172-1	3	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
172-2	3	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
173-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
173-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
174-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
1-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
1-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
2-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
2-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
3-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
3-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
4-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
4-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
5-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
5-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
6-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
6-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
7-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
7-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
8-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
8-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
9-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
10-1	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
10-2	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
11-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
11-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
12-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
12-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
13-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
14-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
14-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
15-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
15-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
16-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
16-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
17-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
17-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
18-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
18-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
19-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
19-2	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
20-1	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
20-2	2	days	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	USAMLR
