surveyTargetID	observedTaxon	observedTaxonID	organismQuantity	organismQuantityType
1-1-344008-1-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-1-344008-1-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-1-344008-1-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-1-344008-2-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-1-344008-2-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-1-344008-2-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-1-344008-3-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	1	individual
1-1-231413-1-1	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	individuals
1-1-231413-1-2	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	10	individuals
1-1-231413-1-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	0	individual
1-1-231413-2-1	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	individuals
1-1-231413-2-2	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	20	individuals
1-1-231413-2-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	16	individuals
1-1-231413-3-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	73	individuals
1-1-231413-4-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	0	individual
1-1-231417-1-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-231417-1-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-231417-1-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-231417-2-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-231417-2-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-231417-2-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-231417-3-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
1-1-195932-1-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	12	individuals
1-1-195932-1-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	14	individuals
1-1-195932-1-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	individuals
1-1-195932-2-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	0	individual
1-1-195932-2-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	individuals
1-1-195932-2-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	0	individual
1-1-195932-3-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	0	individual
1-2-344008-1-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-2-344008-1-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-2-344008-1-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-2-344008-2-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-2-344008-2-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
1-2-344008-2-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	0	individual
